Fold.IL.6.HSA	Fold.IL.6.UL	Fold.IL.6.Naive	Fold.IL.6.Nickel	Fold.Naive.Nickel	Fold HSA/Naive
17.48	19.64	15.78	1.27	-0.864874311	-0.091903167
17.47	13.94	15.26	-0.23	-0.952464713	-0.119870603
17.47	23.02	13.73	0.77	-0.879891741	-0.202578267
17.47	13.46	16.65	-0.37	-0.964268277	-0.044133598
17.45	15.53	12.83	0.43	-0.896528805	-0.25065922
17.44	19.27	11.25	1.28	-0.814166636	-0.335689701
17.42	18.07	16.88	1.74	-0.846746953	-0.029494731
17.39	11.37	16.66	-0.22	-0.955974423	-0.039877837
17.35	25.36	12.86	1.34	-0.831300167	-0.244525592
17.32	13.3	13.67	-0.2	-0.945493679	-0.199467267
17.32	23.79	12.49	1.48	-0.816316402	-0.26346085
17.32	12.48	12.99	0.97	-0.858818854	-0.236419494
17.28	11.42	11.96	0.83	-0.85890061	-0.290907918
17.27	12.49	14.98	-0.65	-0.977953701	-0.125267771
17.26	10.57	12.54	-0.66	-0.975049824	-0.258446221
17.23	13.02	8.7	-0.54	-0.95254154	-0.467701014
17.22	16.14	11.35	0.82	-0.852474602	-0.322097511
17.21	9.75	13.13	0.62	-0.885458063	-0.224299667
17.21	9.86	10.34	-0.29	-0.937750028	-0.377486734
17.15	15.76	11.69	1.61	-0.794417112	-0.300985124
17.15	18.43	10.87	0.92	-0.83842066	-0.346140429
17.14	10.73	10.4	-0.25	-0.934484188	-0.371683186
17.13	10.84	10.22	-0.55	-0.960072745	-0.381225981
17.11	17.89	14.22	0.89	-0.875692817	-0.159649653
17.11	8.87	11.98	-0.33	-0.948370602	-0.283004762
17.09	12.23	14.32	-0.21	-0.948669204	-0.153208491
17.07	7.83	13.08	-0.2	-0.942931752	-0.220910746
17.06	13	17.95	0.65	-0.913147644	0.049402228
17.05	16.27	15.3	-0.43	-0.964868332	-0.096729321
17.05	11.39	15.16	-0.4	-0.962983899	-0.104583214
17.04	11.56	12.02	0.64	-0.873734493	-0.278050708
17.03	9.44	14.85	0.49	-0.905719611	-0.120786682
17.02	9.41	13.15	-0.38	-0.955938009	-0.214775317
17	10.87	12.85	-0.52	-0.96548897	-0.23008682
16.99	12.16	16.43	-0.3	-0.960125804	-0.03129673
16.97	15.34	19.74	-0.33	-0.967837302	0.154172818
16.95	11.12	14.56	0.85	-0.881060777	-0.133187838
16.94	15.01	14.09	0.15	-0.923597367	-0.15864001
16.93	31.05	9.42	3.32	-0.585499863	-0.419056842
16.9	10.17	15.46	-0.62	-0.976706935	-0.080452037
16.9	17.17	13.04	0.09	-0.922388749	-0.215808965
16.89	13.01	11.87	0.16	-0.909452087	-0.281025828
